Site,Dist,Site name,Start,End,Lat,Lon,STA
2053,2,LANSDOWNE,1947,..,-17.6133,126.7442,WA
2054,2,SPRINGVALE WEST,1971,1972,-17.8333,127.2333,WA
2055,2,LEWIS CREEK,1936,1940,-19.1,128.5333,WA
2056,2,KUNUNURRA AERO,1971,..,-15.7814,128.71,WA
2057,2,BUNGLE BUNGLE NATIONAL PARK,1990,2005,-17.4206,128.2992,WA
2058,2,EUROTO,1935,1940,-18.35,128.4833,WA
2059,2,RUBY CREEK GOLDMINE,1898,1900,-18.4333,127.75,WA
2060,2,KINGSTON REST,1969,..,-16.0397,128.415,WA
2061,2,CARRANYA,1963,..,-19.3322,127.6367,WA
2062,2,FOX RIVER,1975,..,-18.4233,128.0308,WA
2063,2,LARRANGANNI,1976,1978,-19.8761,128.4581,WA
2064,2,ARGYLE AERODROME,1986,..,-16.638,128.4516,WA
2065,2,MORNINGTON,1991,2004,-17.3936,126.2281,WA
2066,2,CARRANYA 2,1991,1995,-19.1764,127.6497,WA
2067,2,KUNUNURRA CHECKPOINT,1993,..,-15.9816,128.9991,WA
2068,2,MARION DOWNS,1993,..,-17.0716,126.8494,WA
2069,2,KACHANA,1993,..,-16.4433,127.7836,WA
2070,2,PHILLIPS RANGE,1994,1995,-16.8828,126.1267,WA
2071,2,HALLS CREEK COMPARISON (OLD),1996,2001,-18.2303,127.6625,WA
2072,2,BEDFORD DOWNS AIRSTRIP,2011,..,-17.2797,127.4648,WA
2073,2,MARGARET RIVER AIRSTRIP,2006,..,-18.6217,126.8831,WA
2074,2,MOOLA BULLA AIRSTRIP,2003,..,-18.1958,127.4948,WA
2075,2,BULKA,1995,..,-19.0372,126.0933,WA
2076,2,MORNINGTON,2004,..,-17.5115,126.1095,WA
2077,2,SIDDINS CREEK,2009,..,-16.9203,126.5511,WA
2078,2,LARRAWA AIRFIELD,2009,..,-18.8318,126.5301,WA
2079,2,HALLS CREEK AIRPORT,2015,..,-18.2337,127.6666,WA
3000,3,BEAGLE BAY,1902,..,-16.9807,122.6662,WA
3001,3,COUNTRY DOWNS,1969,..,-17.2767,122.5711,WA
3002,3,BROOME POST OFFICE,1889,1953,-17.95,122.25,WA
3003,3,BROOME AIRPORT,1939,..,-17.9475,122.2352,WA
3004,3,CAPE LEVEQUE,1917,..,-16.3961,122.9278,WA
3005,3,FAIRFIELD STATION,1950,..,-17.5725,125.0675,WA
3006,3,FITZROY CROSSING COMP.,1893,2000,-18.1919,125.5644,WA
3007,3,DERBY POST OFFICE,1882,1997,-17.3044,123.6292,WA
3008,3,ELLENDALE,1919,..,-17.9281,124.8108,WA
3009,3,JUBILEE DOWNS,1937,..,-18.3547,125.3033,WA
3010,3,KIMBERLEY DOWNS,1885,..,-17.3927,124.3574,WA
3011,3,LEOPOLD DOWNS,1899,..,-17.7535,125.3807,WA
3012,3,LIVERINGA UPPER,1898,2002,-18.0483,124.1728,WA
3013,3,LULUIGUI,1920,1983,-18.145,124.0275,WA
3014,3,GOGO STATION,1908,..,-18.2914,125.5869,WA
3015,3,MEDA,1911,..,-17.368,123.9956,WA
3016,3,MOUNT ANDERSON,1899,1986,-18.0358,123.9286,WA
3017,3,MOUNT HOUSE STATION,1923,..,-17.0516,125.7051,WA
3018,3,MYROODAH,1907,..,-18.1225,124.2692,WA
3019,3,NAPIER DOWNS,1912,..,-17.3305,124.8166,WA
3020,3,NERRIMA,1935,..,-18.4922,124.3992,WA
3021,3,NOONKANBAH,1898,1992,-18.4875,124.8231,WA
3022,3,QUANBUN DOWNS,1898,..,-18.3817,125.2267,WA
3023,3,ROEBUCK PLAINS,1902,..,-17.9315,122.4722,WA
3024,3,UDIALLA,1930,..,-17.9464,123.7383,WA
3025,3,COCKATOO ISLAND,1948,2014,-16.0992,123.6161,WA
3026,3,YEEDA,1890,..,-17.6153,123.6483,WA
3027,3,FOSSIL DOWNS,1904,..,-18.1386,125.7764,WA
3028,3,ANNA PLAINS,1908,..,-19.2536,121.4861,WA
3029,3,FRAZIER DOWNS,1910,1980,-18.7983,121.7125,WA
3030,3,BIDYADANGA,1891,..,-18.6844,121.7803,WA
3031,3,LOMBADINA MISSION,1946,1993,-16.5167,122.8908,WA
3032,3,DERBY AERO,1951,..,-17.3706,123.6611,WA
3033,3,BLINA,1938,..,-17.7472,124.5283,WA
3034,3,ECO BEACH,1998,1999,-18.3381,122.0758,WA
3035,3,MUNJA,1922,1948,-16.4,124.95,WA
3036,3,BROOME QUARANTINE STATION,1952,1953,-18,122.2167,WA
3037,3,MUNKAYARRA,1958,1958,-17.4333,123.75,WA
3038,3,LIVERINGA 2,1958,1960,-17.95,124.1667,WA
3039,3,SILENT GROVE,1959,1972,-16.9667,125.3,WA
3040,3,CAMBALLIN,1958,..,-17.9903,124.1922,WA
3041,3,KILTO STATION,1962,..,-17.6924,122.7127,WA
3042,3,TALGARNO,1959,1963,-19.2833,121.5,WA
3043,3,CHRISTMAS CREEK HOMESTEAD,1960,..,-18.8772,125.9207,WA
3044,3,BROOKING SPRINGS,1901,..,-18.1103,125.6431,WA
3045,3,CALANGADIE,1921,1939,-19.1,121.5,WA
3046,3,CHERRABUN,1906,1972,-18.4833,125.3333,WA
3047,3,DAMPIER DOWNS,1929,1940,-18.4,123.1,WA
3048,3,CHERRABUN,1962,..,-18.9159,125.5264,WA
3049,3,ISADELL DOWNS,1913,1927,-16.9,125.7,WA
3050,3,LIVERINGA LOWER,1887,1896,-17.95,124.1667,WA
3051,3,MOUNT BARNETT,1983,..,-16.7372,125.9086,WA
3052,3,MOUNT HART STATION,1925,..,-16.8214,124.9151,WA
3053,3,OBAGAMA,1895,1934,-16.7,123.9833,WA
3054,3,POINT TORMENT,1904,1923,-17.1,123.7,WA
3055,3,ROLLAH,1907,1919,-18.7,121.75,WA
3056,3,THANGOO,1892,..,-18.1792,122.3583,NT
3057,3,CYGNET BAY,1963,..,-16.4513,123.0087,WA
3058,3,MILLAJIDDIE,1964,1969,-18.8333,124.95,WA
3059,3,NITA DOWNS,1964,..,-19.0861,121.6764,WA
3060,3,ARDJORIE,1966,1973,-18.7667,123.6833,WA
3061,3,KIMBOLTON RANGE STATION 1,1966,1978,-16.695,123.8625,WA
3062,3,BEVERLEY SP,1959,1967,-16.5833,125.4833,WA
3063,3,CHARNLEY RIVER,1968,..,-16.7164,125.46,WA
3064,3,FITZROY A.I.M,1970,1974,-18.1667,125.5833,WA
3065,3,KALYEEDA,1972,1974,-18.55,124.7167,WA
3066,3,PORT SMITH,1973,..,-18.5175,121.8072,WA
3067,3,GLAROSA POULTRY LODGE,1973,1974,-17.3333,123.6833,WA
3068,3,DAMPIER DOWNS,1973,..,-18.5077,123.4561,WA
3069,3,KOOLAN ISLAND,1974,1992,-16.1306,123.7764,WA
3070,3,OOBAGOOMA,1974,1974,-16.7667,123.9833,WA
3071,3,NOONKANBAH AIRSTRIP,1944,1945,-18.5,124.8333,WA
3072,3,ONE ARM POINT,1975,1993,-16.4508,123.0653,WA
3073,3,KIMBOLTON,1970,..,-16.6872,123.8375,WA
3074,3,YAKKAMUNGA,1983,..,-17.9343,123.4736,WA
3075,3,DERBY MAIN ROADS,1983,..,-17.3136,123.6497,WA
3076,3,WESTERN FIELD,1983,1985,-19.3283,125.3886,WA
3077,3,MOWLA BLUFF,1985,1995,-18.5914,123.6133,WA
