Site,Dist,Site name,Start,End,Lat,Lon,STA
14900,14GA,DRY RIVER STATION,1968,..,-15.2437,132.1548,NT
14901,14GA,DOUGLAS RIVER RESEARCH FARM,1968,..,-13.8345,131.1872,NT
14902,14GA,KATHERINE COUNCIL,1873,..,-14.4589,132.2572,NT
14903,14GA,KATHERINE AVIATION MUSEUM,1942,..,-14.4437,132.2737,NT
14904,14GA,KATHERINE EXP. FARM,1944,1968,-14.4833,132.25,NT
14905,14GA,PORT KEATS POLICE,1938,2006,-14.2403,129.5215,NT
14906,14GA,FISH RIVER,1968,..,-14.1894,130.8815,NT
14907,14GA,LITCHFIELD,1968,..,-13.4279,130.4939,NT
14908,14GA,WOOLIANA,1965,1980,-13.6817,130.6367,NT
14909,14GA,CENTRAL ARNHEM PLATEAU,2003,..,-13.3275,133.0861,NT
14910,14GA,KATHERINE RESEARCH FARM,1969,..,-14.4747,132.3051,NT
14911,14GA,CLARAVALE,1968,1993,-14.3483,131.5767,NT
14912,14GA,BONROOK,1895,1973,-13.8653,131.8806,NT
14913,14GA,ELIZABETH DOWNS,1962,..,-13.7439,130.4933,NT
14914,14GA,DALY RIVER MISSION,1885,2002,-13.7508,130.6886,NT
14915,14GA,KATHERINE CDW,1957,1966,-14.45,132.25,NT
14916,14GA,DALY RIVER POLICE,1912,1988,-13.7667,130.71,NT
14917,14GA,JINDARE,1960,..,-14.0155,131.6105,NT
14918,14GA,FERGUSSON RIVER RAILWAY,1938,1962,-14.075,131.975,NT
14919,14GA,MARANBOY,1923,2005,-14.5266,132.7857,NT
14920,14GA,PINE CREEK CDW,1957,1958,-13.8,131.8,NT
14921,14GA,WILLEROO,1909,..,-15.287,131.5817,NT
14922,14GA,MOUNT LITCHFIELD,1929,1936,-13.7,130.6,NT
14923,14GA,MANBULLOO,1917,2001,-14.5194,132.1978,NT
14924,14GA,INJUN BEACH,1969,1998,-14.235,129.4242,NT
14925,14GA,TIPPERARY,1935,..,-13.7352,131.0437,NT
14926,14GA,TIPPERARY PADDOCK,1964,1981,-13.75,131.1333,NT
14927,14GA,CDU KATHERINE RURAL CAMPUS,1958,..,-14.3727,132.1559,NT
14928,14GA,INNESVALE,1974,2002,-15.3568,131.2736,NT
14929,14GA,CARPENTARIA GOLD MINE,1912,1917,-14.3833,132.4667,NT
14930,14GA,MACDONALD FIELD,1942,1943,-13.75,131.7,NT
14931,14GA,FENTON STRIP RAAF,1942,1945,-13.6167,131.3333,NT
14932,14GA,TINDAL RAAF,1969,..,-14.5229,132.3826,NT
14933,14GA,PINE CREEK,1874,..,-13.8241,131.8372,NT
14934,14GA,PINE CREEK WELCOME INN,1963,1968,-13.6333,131.6333,NT
14935,14GA,PINE CREEK HOSPITAL,1915,1919,-13.8167,131.8333,NT
14936,14GA,FLYING FOX CREEK,1965,1967,-13.4333,130.5,NT
14937,14GA,KATHERINE HOSPITAL,1937,1939,-14.45,132.2667,NT
14938,14GA,MANGO FARM,1980,..,-13.7379,130.6834,NT
14939,14GA,SCOTT CREEK,1980,..,-14.8646,131.8443,NT
14940,14GA,DORISVALE,1981,..,-14.4995,131.3468,NT
14941,14GA,OOLLOO,1962,2019,-13.9152,131.2117,NT
14942,14GA,EVA VALLEY,1966,2015,-14.28,132.8346,NT
14943,14GA,FRANCES CREEK,1985,1988,-13.615,131.8417,NT
14944,14GA,GARABALDI,1986,2003,-13.9406,131.2175,NT
14945,14GA,MANBULLOO CSIRO,1990,1991,-14.795,131.9367,NT
14946,14GA,PINE CREEK GOLDFIELDS,1992,1999,-13.8269,131.8242,NT
14947,14GA,UPPER FERGUSSON RIVER,1993,..,-14.0106,132.2084,NT
14948,14GA,PORT KEATS AIRPORT,1996,..,-14.2494,129.5282,NT
14949,14GA,DELAMERE WEAPONS RANGE,1997,..,-15.7441,131.9181,NT
14950,14GA,MOUNT FELIX,2005,..,-14.1242,132.6379,NT
14951,14GA,MARGARET DOWNS,1991,..,-15.4219,132.2722,NT
14952,14GA,CUTTA CUTTA,1997,2012,-14.5756,132.4713,NT
14953,14GA,WILTON RIVER,1997,2008,-14.1341,134.4735,NT
14954,14F,BRADSHAW,1998,..,-14.9408,130.8091,NT
14955,14GA,NITMILUK RANGERS,1997,..,-14.3203,132.4218,NT
14956,14GA,BONALBO,1996,..,-13.9491,131.319,NT
14957,14GA,ASYLUM,1998,2002,-14.2911,131.9986,NT
14958,14GA,SLEISBECK,1995,1998,-13.7722,132.8397,NT
14959,14GA,FLORINA,1987,..,-14.4524,131.686,NT
14960,14GA,PINE CREEK COUNCIL,2000,..,-13.8243,131.832,NT
14961,14GA,MANBULLOO,1995,..,-14.5543,132.2241,NT
14962,14GA,YEURALBA RIDGE,2002,..,-14.2541,132.7357,NT
14963,14GA,WUDIKAPILDIYERR,2002,2012,-13.8596,130.0031,NT
14964,14GA,PEPPIMENARTI,2002,2006,-14.1498,130.0758,NT
14965,14GA,UPPER SEVENTEEN MILE CREEK,2003,..,-14.1881,132.3961,NT
14966,14GA,NITMILUK RIDGE,2003,..,-14.3148,132.4248,NT
14967,14GA,EDITH FARMS ROAD,2003,..,-14.3055,132.0772,NT
14968,14GA,TINDAL RADAR,1990,..,-14.5131,132.4461,NT
14969,14GA,NGANMARRIYANGA,2003,2012,-14.3393,129.8648,NT
14970,14GA,FANNY CREEK,2006,..,-14.1084,132.9004,NT
14971,14GA,KATHERINE POLICE STATION,2007,..,-14.4721,132.2849,NT
14972,14GA,MOUNT STOW,2007,..,-13.8516,132.6505,NT
14973,14GA,PHOENIX PARK,2008,2010,-14.4844,132.2121,NT
14974,14GA,MATHISON,2008,..,-15.1542,131.6982,NT
14975,14GA,DANGER POINT ROAD,2008,..,-11.3564,132.3524,NT
14976,14DE,WILTON RIVER,2008,..,-14.1389,134.4602,NT
14977,14GA,VENN,2009,2015,-14.5832,132.4822,NT
14978,14GA,MIDDLE POINT SATELLITE EARTH STATION,2010,..,-12.5937,131.3055,NT
14979,14GA,KATHERINE - BRAY RD,2011,..,-14.4904,132.1732,NT
14980,14F,KEEP RIVER NP,2014,..,-15.7956,129.1032,NT
14981,14F,BRADSHAW - KOOLENDONG VALLEY (DEFENCE,)      2018,..,-15.1853,130.1169,NT
14982,14GA,KANGAROO FLATS (DEFENCE),2017,..,-12.7934,130.8542,NT
14983,14GA,MOUNT BUNDEY NORTH (DEFENCE),2017,..,-12.9141,131.8663,NT
14984,14GA,MOUNT BUNDEY SOUTH (DEFENCE),2017,..,-13.0889,131.8478,NT
14985,14GA,DARWIN AIRPORT UPPER AIR COMPARISON,2018,..,-12.4239,130.8925,NT
14986,14GA,HAYWARD CREEK (TIPPERARY),2019,..,-13.6676,130.8789,NT
14987,14GA,DELAMERE WEAPONS RANGE CONTROL,2019,..,-15.7674,131.82,NT
15000,15A,ROCKY,2000,..,-19.3624,135.3009,NT
15001,15A,CHARIOT MINE,2003,2006,-19.6539,134.0953,NT
15002,15A,WISO BORE,2007,..,-19.4157,133.5541,NT
15003,15A,AMUNGEE MUNGEE,2011,..,-16.4817,134.095,NT
15004,15A,AUSTRAL DOWNS,1914,..,-20.502,137.7745,NT
15005,15A,AVON DOWNS,1909,..,-20.0297,137.4907,NT
15006,15A,STURT PLAIN (HAYFIELD),2013,..,-17.0657,133.4119,NT
15007,15A,AMUNGEE MUNGEE,2015,..,-16.4641,134.1059,NT
15015,15A,HELEN SPRINGS,1945,..,-18.4336,133.8774,NT
15019,15A,LAKE NASH,1891,..,-20.9645,137.9214,NT
15021,15A,MOUNT CAVANAGH,1939,1974,-25.95,133.2,NT
15026,15A,RANKEN RIVER,1908,2008,-19.6014,136.9078,NT
15027,15A,ROCKHAMPTON DOWNS,1948,..,-18.9488,135.1935,NT
15034,15A,WONARAH,1946,1974,-19.8983,136.3358,NT
15036,15A,ALROY DOWNS,1950,2015,-19.2961,136.0711,NT
15038,15A,CRESWELL DOWNS,1950,1977,-17.945,135.9067,NT
15040,15A,SOUDAN,1950,..,-20.0519,137.0188,NT
15041,15A,EVA DOWNS,1950,..,-18.0014,134.8618,NT
15046,15A,LARRIMAH POST OFFICE,1952,1974,-15.5833,133.2167,NT
15067,15A,BANKA BANKA,1946,..,-18.792,134.0297,NT
15071,15A,HENBURY LOWER,1888,1927,-25,133.8,NT
15075,15A,CHARLES RIVER CDW,1958,1963,-23.65,133.7833,NT
15077,15A,BOND SPRINGS,1901,1979,-23.55,133.9,NT
15078,15A,ELLIOTT NTA AIB,1964,1964,-17.55,133.5333,NT
15079,15A,BARRY CAVES,1969,1975,-20.0467,136.67,NT
15080,15A,BEETALOO,1964,1998,-17.2183,133.8006,NT
15081,15A,ANTHONY LAGOON,1963,..,-17.9777,135.5322,NT
15082,15A,RENNER SPRINGS,1953,..,-18.3177,133.7947,NT
15083,15A,POWELL CREEK,1873,1987,-18.08,133.675,NT
15084,15A,BLACK HILLS,1963,1963,-19.8833,129.7833,NT
15085,15A,BRUNETTE DOWNS,1891,..,-18.637,135.945,NT
15086,15A,NEWCASTLE WATERS,1889,..,-17.3785,133.4103,NT
15087,15A,TENNANT CREEK POST OFFICE,1874,2002,-19.6475,134.1896,NT
15088,15A,ALEXANDRIA,1886,..,-19.0577,136.7065,NT
15089,15A,NEWCASTLE WATERS POST OFFICE,1941,1980,-17.3833,133.4,NT
15090,15A,FREWENA,1949,1979,-19.435,135.4017,NT
15091,15A,CATTLE CREEK,1960,1974,-17.5833,131.5333,NT
15092,15A,BEETALOO DOWNS,1929,1937,-17.2,133.8,NT
15103,15A,UCHARONIDGE,1963,..,-17.6744,134.251,NT
15108,15A,MUCKATY,1943,2018,-18.6284,133.872,NT
15114,15A,PHILLIP CREEK,1966,..,-19.2738,134.1235,NT
15120,15A,MONGREL DOWNS,1966,1974,-20.55,129.6833,NT
15121,15A,TENNANT CREEK AERADIO,1967,1969,-19.6333,134.1833,NT
15123,15A,BRUNCHILLY,1968,..,-18.8693,134.4987,NT
15124,15A,HEYFIELD,1968,1973,-16.95,133.4,NT
15125,15A,MITTIEBAH,1968,..,-18.8052,137.0879,NT
15127,15A,MUNGABROOM,1992,1996,-17.8222,134.5492,NT
15129,15A,THREEWAYS ROADHOUSE,1969,2016,-19.4376,134.2088,NT
15131,15A,ELLIOTT,1949,..,-17.5552,133.5439,NT
15132,15A,STURT PLAINS,1967,1974,-17.1167,133.35,NT
15133,15A,IVANHOE MINE,1969,1972,-19.5667,134.05,NT
15134,15A,ORLANDO MINE,1969,1975,-19.4417,134.025,NT
15135,15A,TENNANT CREEK AIRPORT,1969,..,-19.6423,134.1833,NT
15136,15A,MARYVILLE,1970,1975,-18.4533,133.8583,NT
15137,15A,ANTHONY LAGOON,1963,1977,-17.9817,135.5283,NT
15138,15A,AVON DOWNS POLICE,1963,1970,-20.0228,137.4892,NT
15139,15A,WARRAMUNGA,1971,..,-19.9331,134.355,NT
15140,15A,WARREGO MINE,1969,2006,-19.4457,133.8216,NT
15141,15A,PEKO MINE,1969,1980,-19.6833,134.2833,NT
15142,15A,JUNO MINE,1969,1976,-19.7167,134.2333,NT
15143,15A,WOOLBYE CREEK,1949,1950,-19.6333,134.2,NT
15144,15A,TENNANT CREEK LP PLUVIO,1972,1981,-19.575,134.1833,NT
15145,15A,BARKLY HOMESTEAD,1985,2018,-19.7111,135.8259,NT
15147,15A,WALHALLOW,1974,..,-17.7838,135.6635,NT
15148,15A,HAYFIELD,1974,1998,-16.7,133.55,NT
15149,15A,GECKO MINE,1971,1984,-19.4333,134.0667,NT
15150,14DE,KIANA,1985,..,-17.2425,136.1821,NT
15151,15A,NUMBER 36 BORE,1987,2010,-19.2815,137.2441,NT
15152,15A,MARY ANN DAM,1987,1990,-19.6183,134.2017,NT
15500,15B,AMBURLA STUD,1967,2008,-23.3601,133.0032,NT
15501,15B,YAMBAH,1968,..,-23.1274,133.836,NT
15502,15B,ALI CURUNG,1967,..,-21.0025,134.4029,NT
15503,15B,MOUNT RIDDOCK,1966,..,-23.0364,134.6801,NT
15504,15B,DNIEPER,1967,1971,-22.625,135.1933,NT
15505,15B,TI TREE STATION,1966,1986,-22.1283,133.2633,NT
15506,15B,NEUTRAL JUNCTION,1967,1976,-21.5194,134,NT
15507,15B,PINE HILL,1967,..,-22.3854,133.0522,NT
15508,15B,ALLAMBI,1968,..,-24.2691,134.4028,NT
15509,15B,HAASTS BLUFF,1967,1987,-23.4533,131.88,NT
15510,15B,MOUNT CAVENAGH,1939,..,-25.9551,133.211,NT
15511,15B,CURTIN SPRINGS,1953,..,-25.3139,131.7571,NT
15512,15B,JAY CREEK,1967,1990,-23.795,133.5017,NT
15513,15B,HATCHES CREEK POLICE,1943,1950,-20.8,135.2,NT
15514,15B,HATCHES CREEK 2,1968,1975,-20.8667,135.1833,NT
15515,15B,AMBURLA,1968,..,-23.3432,133.1721,NT
15516,15B,JINKA,1969,2002,-22.9292,135.7136,NT
15517,15B,TEMPLE BAR,1955,1959,-23.7833,133.8667,NT
15518,15B,NAPPERBY,1966,..,-22.5096,132.7525,NT
15519,15B,PALMER VALLEY,1953,..,-24.7495,133.2317,NT
15520,15B,TEA TREE WELL,1921,1970,-22.1333,133.4167,NT
15521,15B,THE GARDEN,1954,..,-23.2837,134.4229,NT
15522,15B,DOCKER RIVER,1973,2012,-24.8767,129.0722,NT
15523,15B,GLEN HELEN,1941,..,-23.4062,132.2437,NT
15524,15B,IDRACOWRA,1950,..,-24.9949,133.7876,NT
15525,15B,BARROW CREEK,1874,..,-21.5317,133.8901,NT
15526,15B,FINKE POST OFFICE,1938,1980,-25.5833,134.5667,NT
15527,15B,AYERS ROCK,1964,1983,-25.34,131.0583,NT
15528,15B,YUENDUMU,1952,..,-22.2565,131.8011,NT
15529,15B,PINE GAP,1969,1984,-23.8333,133.75,NT
15530,15B,ELKEDRA,1944,..,-21.1661,135.446,NT
15531,15B,HERMANNSBURG,1888,..,-23.945,132.7749,NT
15532,15B,MOUNT PEAKE,1939,1950,-22.5514,133.9472,NT
15533,15B,BUNDOOMA RAILWAY SIDING,1930,1976,-24.8983,134.2567,NT
15534,15B,OORATIPPRA,1950,..,-21.9041,136.0741,NT
15535,15B,CONISTON,1948,..,-22.0498,132.495,NT
15536,15B,MARYVALE,1948,..,-24.6685,134.0721,NT
15537,15B,KURUNDI,1934,..,-20.5003,134.662,NT
15538,15B,MOUNT DOREEN,1933,1958,-22.0833,131.2833,NT
15539,15B,DUFFIELD,1946,1976,-25.85,134.6883,NT
15540,15B,ALICE SPRINGS POST OFFICE,1873,1989,-23.71,133.8683,NT
15541,15B,SEVENTEEN MILE CSIRO,1957,1974,-23.4167,133.75,NT
15542,15B,ANNINGIE,1941,..,-21.8481,133.1228,NT
15543,15B,AILERON,1949,..,-22.6459,133.3457,NT
15544,15B,DEEP WELL RAILLWAY SIDING,1945,1976,-24.36,134.05,NT
15545,15B,HARTS RANGE POLICE,1948,..,-22.9783,134.9173,NT
15546,15B,RINGWOOD,1964,..,-23.8287,134.9556,NT
15547,15B,NEW MACDONALD DOWNS,1933,..,-22.6134,135.0359,NT
15548,15B,RABBIT FLAT,1969,1998,-20.1883,130.0161,NT
15549,15B,MCLAREN CREEK,1969,1990,-20.34,134.195,NT
15550,15B,WYCLIFFE WELL,1969,2014,-20.7451,134.236,NT
15551,15B,HUCKITTA,1968,..,-22.8951,135.4592,NT
15552,15B,HENBURY,1897,..,-24.5521,133.252,NT
15553,15B,HAMILTON DOWNS,1958,..,-23.5092,133.2677,NT
15554,15B,VAUGHAN SPRINGS,1960,..,-22.2984,130.85,NT
15555,15B,TANAMI DOWNS,1966,2019,-20.565,129.7251,NT
15556,15B,CHILLA WELL,1966,1973,-21.55,130.95,NT
15557,15B,TEMPE DOWNS,1969,..,-24.3996,132.4525,NT
15558,15B,BATHURST DOWNS,1920,1925,-21.9833,137.1333,NT
15559,15B,MARQUA,1993,..,-22.8024,137.2954,NT
15560,15B,MANNERS CREEK,2000,..,-22.1086,137.9819,NT
15561,15B,MOUNT LIEBIG,2000,..,-23.2674,131.2733,NT
15562,15B,ORANGE CREEK,1969,..,-24.3612,133.4315,NT
15563,15B,WALLARA ROADHOUSE,1969,1990,-24.625,132.3283,NT
15564,15B,OWEN SPRINGS,1969,..,-23.8754,133.4704,NT
15565,15B,MOUNT ALLAN,1969,2009,-22.2601,132.2054,NT
15566,15B,SINGLETON,1970,2015,-20.7164,134.2835,NT
15567,15B,CENTRAL MOUNT WEDGE,1951,..,-22.7415,132.1554,NT
15568,15B,FINKE RAILWAY STATION,1930,1957,-25.5833,134.5367,NT
15569,15B,WILLOWRA,1947,..,-21.2759,132.623,NT
15570,15B,HOME OF BULLION MINE,1970,1971,-21.5083,134.1667,NT
15571,15B,WAUCHOPE,1953,2012,-20.6401,134.2225,NT
15572,15B,STIRLING,1966,..,-21.7325,133.7633,NT
15573,15B,HANSON RIVER,1965,1992,-22.2667,133.2833,NT
15574,15B,ERLDUNDA,1933,..,-25.2219,133.1955,NT
15575,15B,CLARAVILLE,1972,..,-23.3734,134.7499,NT
15576,15B,MOUNT EBENEZER STATION,1972,1972,-25.1833,132.6733,NT
15577,15B,DELMORE DOWNS,1950,..,-22.4515,134.8189,NT
15578,15B,DELNY,1972,2000,-22.5528,134.8173,NT
15579,15B,NUMERY,1975,..,-24.0137,135.4268,NT
15580,15B,MACDONALD DOWNS,1968,1972,-22.4633,135.2267,NT
15581,15B,ENGOORDINA,1943,1946,-25.0667,134.35,NT
15582,15B,FIFTEEN MILE RESERVE CSIRO,1974,1974,-23.5333,133.85,NT
15583,15B,AREYONGA,1966,2002,-24.0732,132.2712,NT
15584,15B,ARGADARGADA,1968,..,-21.6743,136.6654,NT
15585,15B,AMMAROO,1966,..,-21.7507,135.2382,NT
15586,15B,ARAPUNYA,1966,2009,-22.2875,135.7233,NT
15587,15B,ANNITOWA,1966,..,-21.2103,136.4749,NT
15588,15B,AMBALINDUM,1966,..,-23.3845,134.6841,NT
15589,15B,AREYONGA WELFARE SETTLEMENT,1966,1975,-24.0667,132.2667,NT
15590,15B,ALICE SPRINGS AIRPORT,1940,..,-23.7951,133.889,NT
15591,15B,ALICE SPRINGS TOWNSHIP,1958,1960,-23.7,133.7,NT
15592,15B,BIG DIPPER,1958,1963,-23.5833,133.8333,NT
15593,15B,ALCOOTA,1950,..,-22.8211,134.4508,NT
15594,15B,ARLTUNGA,1988,..,-23.4564,134.6849,NT
15595,15B,ANDADO,1951,..,-25.4108,135.2906,NT
15596,15B,BUSHY PARK,1954,..,-22.9028,134.05,NT
15597,15B,CHARLOTTE WATERS,1874,1938,-25.9333,134.9167,NT
15598,15B,DERRY DOWNS,1966,1977,-22.08,135.3267,NT
15599,15B,EWANINGA,1930,1979,-23.9817,133.9283,NT
15600,15B,NEW CROWN,1950,..,-25.6771,134.833,NT
15601,15B,THE DERWENT,1986,..,-23.1724,132.1499,NT
15602,15B,JERVOIS,1966,..,-22.9494,136.1442,NT
15603,15B,KULGERA,1968,..,-25.8428,133.3027,NT
15604,15B,LUCY CREEK,1966,..,-22.4415,136.2922,NT
15605,15B,LILLA CREEK,1966,..,-25.5607,134.0713,NT
15606,15B,LYNDA VALE,1934,1941,-25.4,132.2,NT
15607,15B,MOUNT DENISON,1966,..,-22.131,132.0813,NT
15608,15B,MURRAY DOWNS,1966,..,-21.0435,134.6753,NT
15609,15B,MURRAY DOWNS,1951,1957,-21.05,134.6667,NT
15610,15B,INDIANA,1966,..,-23.3292,135.44,NT
15611,15B,NEWHAVEN,1962,..,-22.7231,131.169,NT
15612,15B,PAPUNYA,1957,..,-23.2044,131.9156,NT
15613,15B,PLENTY DOWNS,1961,1962,-23.1,136.2333,NT
15614,15B,RUMBALARA,1930,1981,-25.3333,134.4833,NT
15615,15B,RODINGA RAILWAY SIDING,1930,1978,-24.5567,134.0817,NT
15616,15B,ROSS RIVER,1966,..,-23.5943,134.4887,NT
15617,15B,SANTA TERESA,1966,..,-24.1308,134.3736,NT
15618,15B,TOBERMOREY,1966,..,-22.2741,137.973,NT
15619,15B,TODD RIVER,1954,..,-23.8398,134.5089,NT
15620,15B,TARLTON DOWNS,1953,..,-22.6577,136.7998,NT
15621,15B,THE GRANITES,1934,1949,-20.5667,130.4,NT
15622,15B,UMBEARA,1966,1969,-25.7533,133.685,NT
15623,15B,UNDOOLYA,1898,..,-23.6939,134.0352,NT
15624,15B,VICTORY DOWNS,1966,..,-25.9891,132.9748,NT
15625,15B,WOOLLA DOWNS,1953,1965,-22.1667,133.8333,NT
15626,15B,WOODGREEN,1946,..,-22.3959,134.2333,NT
15627,15B,HORSESHOE BEND,1974,..,-25.2136,134.2466,NT
15628,15B,ALICE SPRINGS GOLF CLUB,1978,..,-23.7164,133.8819,NT
15629,15B,GURNER,1960,1962,-22.6667,131.1167,NT
15630,15B,HEAVITREE GAP,1890,1911,-23.7333,133.8667,NT
15631,15B,BOND SPRINGS HOMESTEAD,1901,..,-23.5406,133.9211,NT
15632,15B,CHARLES RIVER CDW,1958,1963,-23.65,133.7833,NT
15633,15B,PALM VALLEY,1981,..,-24.0637,132.7448,NT
15634,15B,ALICE SPRINGS CONNELLANS,1940,1941,-23.6833,133.85,NT
15635,15B,YULARA AIRPORT,1983,..,-25.1896,130.9737,NT
15636,15B,KINGS CREEK,1986,2013,-24.4048,131.8177,NT
15637,15B,ERLDUNDA ROADHOUSE,1986,..,-25.1975,133.1995,NT
15638,15B,GLEN HELEN LODGE,1986,..,-23.6853,132.6722,NT
15639,15B,MOUNT EBENEZER,1986,..,-25.1784,132.6764,NT
15640,15B,MULGA PARK,1986,..,-25.9053,131.6712,NT
15641,15B,THE GRANITES,1986,..,-20.5476,130.3466,NT
15642,15B,WALLACE ROCK HOLE,1986,..,-24.1267,133.0848,NT
15643,15B,TERRITORY GRAPE FARM,1987,..,-22.4518,133.6377,NT
15644,15B,LYNDAVALE,1988,..,-25.5745,132.3357,NT
15645,15B,DEEP WELL,1966,..,-24.2992,134.1439,NT
15646,15B,WAITE RIVER,1988,2016,-22.4786,134.5306,NT
15647,15B,ATULA,1988,2015,-23.2531,136.3816,NT
15648,15B,ALICE SPRINGS EAST SIDE,1981,2010,-23.6925,133.8978,NT
15649,15B,ANGAS DOWNS,1989,1992,-25.0383,132.2767,NT
15650,15B,NARWIETOOMA,1989,..,-23.2309,132.626,NT
15651,15B,TI TREE POLICE,1989,2006,-22.1292,133.4171,NT
15652,15B,WATARRKA,1990,..,-24.2918,131.549,NT
15653,15B,GEMTREE PARK,1990,..,-22.9688,134.2415,NT
15654,15B,MEREENIE,1990,..,-23.9954,131.553,NT
15655,15B,ATITJERE,1990,2012,-22.9838,134.9359,NT
15656,15B,TODD RIVER DOWNS,1990,..,-24.2578,135.2707,NT
15657,15B,EPENARRA,1991,..,-20.4445,135.2627,NT
15658,15B,TILMOUTH WELL,1991,..,-22.8094,132.5995,NT
15659,15B,CANTEEN CREEK,1991,2002,-20.6419,135.5864,NT
15660,15B,ULURU RANGERS,1965,..,-25.3602,131.0196,NT
15661,15B,MOUNT SKINNER,1963,..,-22.2109,134.1182,NT
15662,15B,ALICE SPRINGS AIRPORT TBRG,1993,1997,-23.8083,133.8833,NT
15663,15B,KINTORE,1993,2012,-23.2851,129.3934,NT
15664,15B,WALUNGURRU AIRPORT,2001,..,-23.2656,129.3844,NT
15665,15B,DEAD BULLOCK SOAK,1995,2005,-20.5181,129.9469,NT
15666,15B,RABBIT FLAT,1996,..,-20.1823,130.0148,NT
15667,15B,ORMISTON GORGE,1971,..,-23.6339,132.73,NT
15668,15B,ORMISTON KNOLL,1998,..,-23.6521,132.7323,NT
15669,15B,NEUTRAL JUNCTION,2000,..,-21.5142,133.9933,NT
15670,15B,OLD ANDADO,2000,..,-25.3792,135.4286,NT
15671,15B,JINDALEE - MT EVERARD,2002,..,-23.5231,133.6792,NT
15672,15B,DEAD BULLOCK SOAK,2005,..,-20.5337,129.9363,NT
15673,15B,TREPHINA GORGE,1988,..,-23.5312,134.3743,NT
15675,15B,WHITE GUMS (ILPARPA),2005,2010,-23.7517,133.7812,NT
15676,15B,HUGH RIVER,2006,2008,-24.3403,133.4671,NT
15677,15B,EAST DAM,2007,..,-23.9468,133.0904,NT
15678,15B,DOCKER RIVER AIRSTRIP,2009,..,-24.8587,129.1193,NT
15679,15B,ALICE SPRINGS DESERT PARK,2011,..,-23.7047,133.8383,NT
15680,15B,ALICE SPRINGS TELEGRAPH STATION,2011,..,-23.6719,133.8872,NT
15681,15B,OORATIPPRA HOMESTEAD,2011,..,-21.8528,136.1592,NT
16000,16,WOOMERA (ARCOONA),1882,..,-31.0229,137.0494,SA
16001,16,WOOMERA AERODROME,1949,..,-31.1558,136.8054,SA
16002,16,BOOKALOO,1897,1984,-31.8967,137.3525,SA
16003,16,BULGUNNIA,1930,..,-30.1658,134.8928,SA
16004,16,BURANDO,1915,1967,-31.2,136.6167,SA
16005,16,PORT AUGUSTA (CARRIEWERLOO STN),1882,..,-32.3983,137.2269,SA
16006,16,TARCOOLA (COMMONWEALTH HILL),1941,..,-29.9434,134.1506,SA
16007,16,COOBER PEDY,1921,..,-29.004,134.7564,SA
16008,16,AMATA AIRSTRIP,1962,..,-26.1035,131.2064,SA
16009,16,COONDAMBO,1885,..,-31.0623,135.8659,SA
16010,16,COONDAMBO RAILWAY STATION,1940,1971,-31.055,135.8181,SA
16011,16,EAST WELL,1936,1977,-30.9892,136.0172,SA
16012,16,ERINGA,1931,1975,-26.2783,134.7233,SA
16013,16,ERNABELLA,1935,1983,-26.2925,132.1283,SA
16014,16,EVERARD PARK HOMESTEAD,1948,1949,-27.0117,132.7133,SA
16015,16,HESSO,1915,1979,-32.1383,137.4475,SA
16016,16,KINGOONYA (NORTH WELL),1998,..,-30.8453,135.3101,SA
16017,16,URO BLUFF,1908,1940,-32.1269,137.5589,SA
16018,16,CORALBIGNIE,1877,1891,-32.62,136.3617,SA
16019,16,KENMORE PARK,1947,1983,-26.3292,132.4467,SA
16020,16,KINGOONYA,1915,1998,-30.9142,135.3156,SA
16021,16,KOKATHA,1931,..,-31.2609,135.2374,SA
16022,16,KONDOOLKA,1905,..,-31.9955,134.8827,SA
16023,16,KULTANABY TAR,1934,1969,-31.0117,135.6317,SA
16024,16,LAKE EVERARD,1933,..,-31.7397,135.1722,SA
16025,16,WOOMERA (MAHANEWO),1910,..,-31.7293,136.4448,SA
16026,16,MALBOONA,1940,1953,-30.6883,134.175,SA
16027,16,COOBER PEDY (MCDOUALL PEAK),1910,..,-29.8409,134.9035,SA
16028,16,MILLERS CREEK,1929,..,-30.0047,136.0445,SA
16029,16,MOONAREE,1877,1986,-31.9675,135.8742,SA
16030,16,MOUNT EBA,1878,..,-30.1809,135.6629,SA
16031,16,TARCOOLA (MULGATHING),1934,..,-30.2406,133.9885,SA
16032,16,NONNING,1903,..,-32.5226,136.4926,SA
16033,16,WOOMERA (OAKDEN HILLS),1879,..,-31.6611,137.0382,SA
16034,16,HILTABA,1918,..,-32.1572,135.0722,SA
16035,16,ROXBY DOWNS (PARAKYLIA STATION),1936,..,-30.4027,136.392,SA
16036,16,WOOMERA (PERNATTY STATION),1928,..,-31.4831,137.4805,SA
16037,16,PIMBA,1915,1990,-31.2517,136.7983,SA
16038,16,PORT AUGUSTA WEST,1884,2010,-32.4827,137.7576,SA
16039,16,WOOMERA (PURPLE DOWNS),1903,2008,-30.7888,136.8948,SA
16040,16,ROXBY DOWNS STATION,1931,2019,-30.7037,136.7533,SA
16041,16,BON BON,2009,..,-30.423,135.4788,SA
16042,16,KANYPI,2003,2007,-26.1673,130.1192,SA
16043,16,WOOMERA (SOUTH GAP STATION),1882,..,-31.6338,137.6218,SA
16044,16,TARCOOLA,1903,1999,-30.7111,134.5694,SA
